brandId,brandName,aliases,categoryId,logo,luxuryLevel,rankingWeight,brandStatus,originCountryId
nonspace,nonspace,[],fashion,,fashion,50,active,
tuantuan,團團TUANTUAN,[],fashion,,fashion,50,active,
inlook,INLook,[],fashion,,fashion,50,active,
otto,OTTO服飾,[],fashion,,fashion,50,active,
anybears,ANYBEARS,[],fashion,,fashion,50,active,
vibe,VIBE,[],fashion,,fashion,50,active,
la-boutique-du-velo,La Boutique Du Velo,[],sportswear,,sports,50,active,
traveler,Traveler,[],sportswear,,sports,50,active,
hilltop,HillTop 山頂鳥,[],sportswear,,sports,50,active,
atunas,Atunas,[],sportswear,,sports,50,active,
super-golf,Super Golf,[],sportswear,,sports,50,active,
ispo,ISPO+,[],sportswear,,sports,50,active,
wildmeet,WILDMEET,[],sportswear,,sports,50,active,
new-wolsey,New Wolsey,[],sportswear,,sports,50,active,
brand-a9f7dbd63818,城市綠洲,[],sportswear,,sports,50,active,
nba-store,NBA STORE,[],sportswear,,sports,50,active,
stancave,STANCAVE,[],sportswear,,sports,50,active,
honma,HONMA,[],sportswear,,sports,50,active,
aroak,AROAK,[],sportswear,,sports,50,active,
porter-international,Porter International,[],shoes-bags,,fashion,50,active,
uniarts,Uniarts,[],shoes-bags,,fashion,50,active,
all-black-collection,ALL BLACK COLLECTION,[],shoes-bags,,fashion,50,active,
d-af,D+AF,[],shoes-bags,,fashion,50,active,
byhue,BYHUE,[],shoes-bags,,fashion,50,active,
moonstar,MOONSTAR,[],shoes-bags,,fashion,50,active,
new-step,NEW STEP,[],shoes-bags,,fashion,50,active,
impact,impact 怡寶書包,[],shoes-bags,,fashion,50,active,
royal-elastics,Royal Elastics,[],shoes-bags,,fashion,50,active,
regettacanoe,RegettaCanoe,[],shoes-bags,,fashion,50,active,
brand-cdcbabe8cdd9,小金牛,[],shoes-bags,,fashion,50,active,
achilles-sorbo,Achilles Sorbo,[],shoes-bags,,fashion,50,active,
dogday,Dogday,[],home-lifestyle,,lifestyle,50,active,
hengstyle,hengstyle,[],home-lifestyle,,lifestyle,50,active,
yvonne-collection,YVONNE COLLECTION,[],home-lifestyle,,lifestyle,50,active,
xiaomi,小米之家授權店,[],home-lifestyle,,lifestyle,50,active,
beutii,Beutii,[],home-lifestyle,,lifestyle,50,active,
brand-fc526a487485,毛巾美術館,[],home-lifestyle,,lifestyle,50,active,
btp,晶澈BTP,[],home-lifestyle,,lifestyle,50,active,
brand-1ed6662cd9c1,三花棉業,[],home-lifestyle,,lifestyle,50,active,
muji,MUJI 無印良品,[],home-lifestyle,,lifestyle,50,active,
hola,HOLA,[],home-lifestyle,,lifestyle,50,active,
lock-and-lock,LocknLock樂扣樂扣,[],home-lifestyle,,lifestyle,50,active,
tendays,TENDAYS,[],home-lifestyle,,lifestyle,50,active,
brand-b347a083ff2b,元氣熊,[],home-lifestyle,,lifestyle,50,active,
fuji-massage-chair,FUJI按摩椅,[],home-lifestyle,,lifestyle,50,active,
peter-rabbit,Peter Rabbit,[],home-lifestyle,,lifestyle,50,active,
tonia-nicole,Tonia Nicole 東妮寢飾,[],home-lifestyle,,lifestyle,50,active,
standard-products,Standard Products,[],home-lifestyle,,lifestyle,50,active,
threeppy,Threeppy,[],home-lifestyle,,lifestyle,50,active,
dhc,DHC,[],home-lifestyle,,lifestyle,50,active,
o-right,O'right,[],home-lifestyle,,lifestyle,50,active,
iam,iam我適文創,[],home-lifestyle,,lifestyle,50,active,
